timestamp,fish_id,x_coordinate,y_coordinate
1765305146.4755852,1,491,370
1765305146.4755852,2,276,417
1765305146.4755852,3,345,403
1765305146.4755852,4,384,478
1765305146.4755852,5,388,199
1765305146.4755852,6,324,272
1765305146.4755852,7,666,543
1765305146.4755852,8,263,499
1765305146.4755852,9,644,580
1765305146.4755852,10,324,211
1765305146.4755852,11,365,357
1765305146.4755852,12,381,339
1765305146.4755852,13,364,295
1765305146.4755852,14,401,235
1765305146.4755852,15,352,329
1765305149.5743408,1,491,371
1765305149.5743408,2,276,417
1765305149.5743408,4,383,478
1765305149.5743408,3,347,403
1765305149.5743408,5,388,199
1765305149.5743408,6,322,272
1765305149.5743408,7,665,542
1765305149.5743408,8,263,500
1765305149.5743408,9,644,579
1765305149.5743408,10,324,209
1765305149.5743408,14,400,235
1765305149.5743408,12,378,338
1765305149.5743408,11,365,356
1765305149.5743408,15,357,330
1765305149.7663913,1,492,372
1765305149.7663913,2,276,418
1765305149.7663913,3,348,402
1765305149.7663913,4,383,479
1765305149.7663913,5,387,200
1765305149.7663913,6,327,273
1765305149.7663913,8,262,503
1765305149.7663913,7,665,541
1765305149.7663913,14,403,236
1765305149.7663913,10,324,206
1765305149.7663913,9,644,579
1765305149.7663913,12,379,334
1765305149.7663913,16,1051,670
1765305149.7663913,15,372,327
1765305149.7663913,11,364,356
1765305149.9170692,1,493,373
1765305149.9170692,2,276,418
1765305149.9170692,3,349,400
1765305149.9170692,6,328,273
1765305149.9170692,5,387,199
1765305149.9170692,4,381,479
1765305149.9170692,8,257,504
1765305149.9170692,7,666,542
1765305149.9170692,14,404,236
1765305149.9170692,10,324,205
1765305149.9170692,9,644,579
1765305149.9170692,11,364,359
1765305149.9170692,15,372,327
1765305149.9170692,16,1052,670
1765305149.9170692,12,382,334
1765305149.9971397,1,494,374
1765305149.9971397,2,277,419
1765305149.9971397,3,349,400
1765305149.9971397,4,379,480
1765305149.9971397,6,330,274
1765305149.9971397,5,387,199
1765305149.9971397,8,256,505
1765305149.9971397,7,667,542
1765305149.9971397,14,404,237
1765305149.9971397,10,324,204
1765305149.9971397,9,644,579
1765305149.9971397,12,379,332
1765305149.9971397,16,1051,670
1765305149.9971397,11,363,357
1765305150.058499,1,495,374
1765305150.058499,3,350,398
1765305150.058499,2,279,420
1765305150.058499,6,334,276
1765305150.058499,4,379,480
1765305150.058499,5,388,199
1765305150.058499,8,256,505
1765305150.058499,7,668,542
1765305150.058499,14,403,237
1765305150.058499,10,324,204
1765305150.058499,9,644,579
1765305150.058499,16,1051,670
1765305150.058499,11,364,356
1765305150.058499,12,381,338
1765305150.1351,1,495,374
1765305150.1351,3,349,396
1765305150.1351,6,334,276
1765305150.1351,2,280,421
1765305150.1351,4,378,480
1765305150.1351,5,387,199
1765305150.1351,8,256,505
1765305150.1351,7,668,542
1765305150.1351,14,403,237
1765305150.1351,10,324,206
1765305150.1351,17,334,324
1765305150.1351,9,644,579
1765305150.1351,16,1051,670
1765305150.1351,12,385,338
1765305150.1351,11,365,357
1765305150.2652278,1,499,376
1765305150.2652278,3,349,395
1765305150.2652278,4,376,481
1765305150.2652278,5,387,199
1765305150.2652278,6,334,279
1765305150.2652278,2,277,422
1765305150.2652278,8,255,506
1765305150.2652278,7,669,541
1765305150.2652278,14,402,237
1765305150.2652278,10,327,200
1765305150.2652278,16,1051,667
1765305150.2652278,9,644,578
1765305150.2652278,19,391,348
1765305150.2652278,17,334,325
1765305150.2652278,12,380,332
1765305150.2652278,11,366,359
1765305150.3576517,1,500,376
1765305150.3576517,3,349,393
1765305150.3576517,4,376,481
1765305150.3576517,6,331,281
1765305150.3576517,5,385,199
1765305150.3576517,2,275,423
1765305150.3576517,8,254,506
1765305150.3576517,14,401,237
1765305150.3576517,7,669,541
1765305150.3576517,10,327,200
1765305150.3576517,12,378,334
1765305150.3576517,9,644,578
1765305150.3576517,16,1052,668
1765305150.3576517,17,333,326
1765305150.3576517,19,385,342
1765305150.4291983,1,501,377
1765305150.4291983,3,350,391
1765305150.4291983,4,376,482
1765305150.4291983,6,331,282
1765305150.4291983,5,385,199
1765305150.4291983,8,253,507
1765305150.4291983,2,274,424
1765305150.4291983,14,401,237
